"etternavn"	"Personer 2021"
"Eikås"	330
"Eilertsen"	3207
"Einan"	225
"Einarsen"	931
"Einvik"	239
"Eira"	631
"Ek"	603
"Ekeberg"	788
"Ekeland"	421
"Ekeli"	246
"Ekelund"	269
"Ekerhovd"	322
"Ekker"	214
"Eklund"	426
"Eknes"	380
"Ekre"	269
"Ekrem"	313
"Ekren"	433
"Ekroll"	291
"Ekstrøm"	.
"Elde"	383
"Elden"	261
"Eldevik"	236
"Eliassen"	4254
"Ellefsen"	1820
"Ellingsen"	4864
"Elmi"	470
"Elnes"	229
"Elstad"	614
"Elton"	208
"Eltvik"	225
"Elvebakk"	305
"Elvenes"	252
"Elverum"	371
"Elvestad"	504
"Elvik"	212
"Emanuelsen"	242
"Emberland"	243
"Emblem"	261
"Emilsen"	488
"Endal"	286
"Endresen"	1542
"Enersen"	373
"Enes"	211
"Eng"	913
"Engan"	903
"Engdal"	353
"Enge"	640
"Engebakken"	411
"Engebretsen"	2710
"Engedal"	386
"Engeland"	278
"Engelsen"	600
"Engelstad"	573
"Engen"	3737
"Engenes"	228
"Enger"	2167
"Engeset"	413
"Engeseth"	330
"Engevik"	360
"Engh"	1148
"Englund"	232
"Engseth"	204
"Engstad"	218
"Engstrøm"	320
"Engum"	330
"Engvik"	297
"Enoksen"	1066
"Ensrud"	233
"Erdal"	746
"Erga"	508
"Erichsen"	903
"Eriksen"	18618
"Eriksrud"	245
"Eriksson"	1399
"Erikstad"	424
"Erland"	427
"Erlandsen"	1341
"Ernstsen"	264
"Ersland"	391
"Erstad"	741
"Ertsås"	212
"Ervik"	1226
"Eskedal"	229
"Eskeland"	474
"Espe"	422
"Espedal"	866
"Espeland"	1699
"Espelid"	325
"Espenes"	334
"Espeseth"	415
"Estensen"	231
"Evanger"	240
"Evenrud"	219
"Evensen"	5891
"Evenstad"	281
"Evertsen"	213
"Evje"	234
"Evjen"	1043
"Evju"	249
"Fadnes"	253
"Fagerbakke"	229
"Fagereng"	243
"Fagerhaug"	266
"Fagerheim"	800
"Fagerland"	563
"Fagerli"	1041
"Fagermo"	269
"Fagernes"	301
