"fornavn"	"Personer 2021"
"Yvonne"	1806
"Zahra"	886
"Zainab"	486
"Zara"	338
"Zeinab"	219
"Zoe"	223
"Zofia"	334
"Zuzanna"	509
"Ågot"	353
"Åsa"	720
"Åse"	9733
"Åshild"	2956
"Åslaug"	319
"Åsne"	685
"Åsta"	583
